"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"66";"AFNWS00020231217ejch000e1";2023-12-17;"Inter Press Service";"Anglais";"Joyce Chimbi";"Dubai | news";"africaz  asiaz  devgcoz  eafrz  gulfstz  meastz  uae  wasiaz ";"";"gcat  gdis  gflood  gntdis  gpir  gpol  grisk  gsci ";"africaz  asiaz  devgcoz  eafrz  gulfstz  meastz  uae  wasiaz   gcat  gdis  gflood  gntdis  gpir  gpol  grisk  gsci ";1284;"COP28 - Deal to 'Transition Away' From Fossil Fuels Agreed"
"67";"AFNWS00020231214ejce0002x";2023-12-14;"This Day";"Anglais";"Mary Nnah";"news | Nigeria";"africaz  dvpcoz  nigea  wafrz ";"unfcoc ";"c315  ccat  ccawrd  gcat  gclimt  genv  gglobe  gpir  gpol ";"africaz  dvpcoz  nigea  wafrz  unfcoc  c315  ccat  ccawrd  gcat  gclimt  genv  gglobe  gpir  gpol ";829;"Delta State Governor Bags First Climate Change Champion Award At UNFCCC COP28 Conference"
"68";"AFNWS00020231213ejcd001mg";2023-12-13;"Nile Post News";"Anglais";"Kenneth Kazibwe";"news | Uganda";"africaz  dvpcoz  eafrz  uganda ";"";"gcat  gdip  genv  gpir  gpol  gsust ";"africaz  dvpcoz  eafrz  uganda   gcat  gdip  genv  gpir  gpol  gsust ";503;"Southern Cooperation Finance Ministers Approve Establishment of Sovereign Debtors Union"
"69";"AFNWS00020231213ejcd001ju";2023-12-13;"The Conversation Africa";"Anglais";"Wolfgang Preiser, Cheryl Baxter, Houriiyah Tegally, Monika Moir and Tulio De Oliveira";"analysis";"africaz ";"";"gcat  gchlra  gclimt  genv  gglobe  ghea  gmed  gout  gspox ";"africaz   gcat  gchlra  gclimt  genv  gglobe  ghea  gmed  gout  gspox ";788;"Climate Change Risks Triggering a Spike in Infectious Disease Outbreaks - Three Reasons Why"
"70";"AFNWS00020231212ejcc001bm";2023-12-12;"African Arguments";"Anglais";"James Wan";"analysis";"africaz ";"";"gcat  gclimt  genv  gglobe  gnatcn ";"africaz   gcat  gclimt  genv  gglobe  gnatcn ";1190;"''if Not Now, When?'' African Voices On the Final Day of COP28"
"71";"AFNWS00020231212ejcc000xo";2023-12-12;"The Conversation Africa";"Anglais";"Anthoni Van Nieuwkerk";"analysis | South Africa";"africaz  bric  devgcoz  dvpcoz  safr  souafrz ";"";"gcat  gdip  gpir ";"africaz  bric  devgcoz  dvpcoz  safr  souafrz   gcat  gdip  gpir ";1171;"South Africa's Foreign Policy Under Ramaphosa Has Seen Diplomatic Tools Being Used to Provide Leadership As Global Power Relations Shift"
"72";"AFNWS00020231207ejc7000p4";2023-12-07;"GroundUp";"Anglais";"Fatima Hassan";"news | South Africa";"africaz  bric  devgcoz  dvpcoz  safr  souafrz ";"euppto  hwmlcb  mdrthu ";"c13  c133  ccat  cgymtr  cinprp  gcat  ghea  gimmu  gtrea  ncat  nfact  nfcpin  redit  reqr  reqrph ";"africaz  bric  devgcoz  dvpcoz  safr  souafrz  euppto  hwmlcb  mdrthu  c13  c133  ccat  cgymtr  cinprp  gcat  ghea  gimmu  gtrea  ncat  nfact  nfcpin  redit  reqr  reqrph ";1068;"The EU Protects Its Companies From Big Pharma. South Africa Needs to Do the Same"
"73";"AFNWS00020231204ejc40003h";2023-12-04;"African Arguments";"Anglais";"Fadhel Kaboub";"analysis";"africaz  asiaz  devgcoz  dubai  eecz  eurz  gulfstz  meastz  uae  wasiaz ";"";"gcat  gclimt  genv  gglobe ";"africaz  asiaz  devgcoz  dubai  eecz  eurz  gulfstz  meastz  uae  wasiaz   gcat  gclimt  genv  gglobe ";2222;"Just Transition Q&A - What's At Stake for Africa At COP28?"
"74";"AFNWS00020231204ejc40003j";2023-12-04;"African Arguments";"Anglais";"Fadhel Kaboub";"analysis";"africaz  col  devgcoz  dvpcoz  lamz  samz ";"";"gcat  gclimt  gdip  genv  gglobe  gpir  gsci ";"africaz  col  devgcoz  dvpcoz  lamz  samz   gcat  gclimt  gdip  genv  gglobe  gpir  gsci ";918;"Colombia Chooses Life At COP28 and Sets Example for Africa"
"75";"AFNWS00020231204ejc40003r";2023-12-04;"The Conversation Africa";"Anglais";"Olabisi D. Akinkugbe";"analysis";"africaz  dvpcoz ";"";"c13  ccat  gairp  gcat  gclimt  gdip  genv  gglobe  gpir  gqual  ncat  nfact  nfcpin ";"africaz  dvpcoz   c13  ccat  gairp  gcat  gclimt  gdip  genv  gglobe  gpir  gqual  ncat  nfact  nfcpin ";966;"Low Emissions and Economic Survival - Countries in the Global South Aren't Getting a Fair Deal"
"76";"AFNWS00020231130ejbu001mj";2023-11-30;"The New Dawn";"Anglais";"";"Liberia | news";"africaz  asiaz  bric  delhi  devgcoz  dvpcoz  india  liber  sasiaz  wafrz ";"groptw ";"gcat  gpir  gpol ";"africaz  asiaz  bric  delhi  devgcoz  dvpcoz  india  liber  sasiaz  wafrz  groptw  gcat  gpir  gpol ";952;"Towards a Brighter Tomorrow - India's G20 Presidency and the Dawn of a New Multilateralism"
"77";"AFNWS00020231124ejbo0002v";2023-11-24;"African Arguments";"Anglais";"Connie Nagiah & Margaret Mapondera";"analysis";"africaz  eafrz ";"";"gcat  gclimt  genv  gglobe ";"africaz  eafrz   gcat  gclimt  genv  gglobe ";1197;"African Women Won't Be Heard At Cop So We Wrote Our Own Climate Plan"
"78";"AFNWS00020231123ejbn00030";2023-11-23;"Inter Press Service";"Anglais";"Felix Dodds and Chris Spence";"analysis | New York";"africaz  asiaz  den  devgcoz  dubai  eecz  eurz  fra  gulfstz  meastz  medz  nordz  uae  wasiaz  weurz ";"";"gcat  gclimt  gdip  genv  gglobe  gpir ";"africaz  asiaz  den  devgcoz  dubai  eecz  eurz  fra  gulfstz  meastz  medz  nordz  uae  wasiaz  weurz   gcat  gclimt  gdip  genv  gglobe  gpir ";3228;"Global Cooperation On Climate Change - What Have We Achieved and What Needs to Happen Next?"
"79";"AFNWS00020231119ejbj000e8";2023-11-19;"African Arguments";"Anglais";"The View(s) From Africa";"opinion";"africaz  asiaz  devgcoz  gulfstz  meastz  uae  wasiaz ";"";"gcat  gclimt  genv  gglobe ";"africaz  asiaz  devgcoz  gulfstz  meastz  uae  wasiaz   gcat  gclimt  genv  gglobe ";2236;"What Does Africa Need Most From COP28?"
"80";"AFNWS00020231117ejbh001be";2023-11-17;"Capital FM";"Anglais";"";"Nairobi | news";"africaz  dvpcoz  eafrz  kenya ";"";"gcat  gpir  gpol ";"africaz  dvpcoz  eafrz  kenya   gcat  gpir  gpol ";281;"Global South Must Push for More Inclusive World Order - President Ruto"
"81";"AFNWS00020231108ejb8001gz";2023-11-08;"The Ethiopian Herald";"Anglais";"";"Ethiopia | news";"africaz  dvpcoz  eafrz  ethpa ";"oblrve ";"ecat  gcat  genv  gsust ";"africaz  dvpcoz  eafrz  ethpa  oblrve  ecat  gcat  genv  gsust ";417;"Bri Well-Cementing Global South - Economist"
"82";"AFNWS00020231107ejb7000h4";2023-11-07;"allAfrica.com";"Anglais";"Ifeanyi M. Nsofor and Edima Ottoho";"guest column";"usa  nigea  africaz  dvpcoz  namz  wafrz ";"twban ";"gpov  gsoc  gcat  gcom ";"usa  nigea  africaz  dvpcoz  namz  wafrz  twban  gpov  gsoc  gcat  gcom ";1117;"A Call to Reframe the Inequitable Global Poverty Definition"
"83";"AFNWS00020231102ejb200209";2023-11-02;"allAfrica.com";"Anglais";"Melody Chironda";"news | Uganda";"uganda  africaz  kampla  dvpcoz  eafrz ";"";"ccat  gqual  gsust  reqevr  gcat  genv  redit  reqr ";"uganda  africaz  kampla  dvpcoz  eafrz   ccat  gqual  gsust  reqevr  gcat  genv  redit  reqr ";3554;"Entrepreneur Turns Waste into Opportunity, One 'Briquette' at a Time #AfricaClimateHope"
"84";"AFNWS00020231102ejb2001jn";2023-11-02;"allAfrica.com";"Anglais";"Melody Chironda";"news | Uganda";"uganda  africaz  kampla  dvpcoz  eafrz ";"";"ccat  gqual  gsust  reqevr  gcat  genv  redit  reqr ";"uganda  africaz  kampla  dvpcoz  eafrz   ccat  gqual  gsust  reqevr  gcat  genv  redit  reqr ";3555;"Entrepreneur Turns Waste into Opportunity, One 'Briquette' at a Time #AfricaClimateHope"
"85";"AFNWS00020230919ej9j000ji";2023-09-19;"The Herald";"Anglais";"";"news";"dvpcoz  africaz ";"ungass ";"gcat ";"dvpcoz  africaz  ungass  gcat ";787;"U.S. Clearly Knows What 'Global South' Least Wants to Hear At UNGA"
"86";"AFNWS00020230918ej9i0000i";2023-09-18;"allAfrica.com";"Anglais";"Azaria Kilimba";"Arusha | guest column | Tanzania";"tanza  africaz  dvpcoz  eafrz ";"";"gnatcn  genv  gcat ";"tanza  africaz  dvpcoz  eafrz   gnatcn  genv  gcat ";1228;"The Global North Should Focus on Climate Accountability, Not Just Compensation"
"87";"AFNWS00020230917ej9h0005s";2023-09-17;"Institute for Security Studies";"Anglais";"Peter Fabricius";"analysis";"zaire  zambia  angol  africaz  cana  eecz  usa  ceafrz  dvpcoz  eafrz  eurz  namz  souafrz ";"oblrve  groptw ";"gdip  gcat  gpir ";"zaire  zambia  angol  africaz  cana  eecz  usa  ceafrz  dvpcoz  eafrz  eurz  namz  souafrz  oblrve  groptw  gdip  gcat  gpir ";1066;"Biden's BRI Moment"
"88";"AFNWS00020230917ej9h00002";2023-09-17;"Capital FM";"Anglais";"China Daily";"Beijing | news | Ethiopia";"china  africaz  dvpcoz  ethpa  beijin  apacz  asiaz  bric  chinaz  devgcoz  eafrz  easiaz ";"";"greg  gcat  gpol  gsust  genv  gpir ";"china  africaz  dvpcoz  ethpa  beijin  apacz  asiaz  bric  chinaz  devgcoz  eafrz  easiaz   greg  gcat  gpol  gsust  genv  gpir ";361;"Ethiopian Official Lauds China's Role in Helping the Global South"
"89";"AFNWS00020230915ej9f00109";2023-09-15;"African Arguments";"Anglais";"Fungai Machirori";"analysis";"africaz  zimbab  dvpcoz  eafrz  souafrz ";"";"gwori  nitv  gcat  gcom  ghum  gsoc  ncat  nfact  nfcpex ";"africaz  zimbab  dvpcoz  eafrz  souafrz   gwori  nitv  gcat  gcom  ghum  gsoc  ncat  nfact  nfcpex ";3279;"Building the South-South Feminist Archive - an Interview With Ghiwa Sayegh of Kohl Journal"
"90";"AFNWS00020230913ej9d000s8";2023-09-13;"UN News Service";"Anglais";"";"news";"africaz ";"";"gdip  gsust  gcat  genv  gpir ";"africaz   gdip  gsust  gcat  genv  gpir ";413;"Cooperation Across Global South, Key to Reaching SDGs"
"91";"AFNWS00020230911ej9b0005l";2023-09-11;"This Day";"Anglais";"Deji Elumoye in Abuja";"news | Nigeria";"nigea  india  africaz  asiaz  bric  devgcoz  dvpcoz  sasiaz  wafrz ";"groptw ";"gcat  gpol  gdip  gpir ";"nigea  india  africaz  asiaz  bric  devgcoz  dvpcoz  sasiaz  wafrz  groptw  gcat  gpol  gdip  gpir ";649;"Tinubu to World Leaders - G-20 Incomplete Without Nigeria"
"92";"AFNWS00020230910ej9a000dx";2023-09-10;"The New Times";"Anglais";"Michel Nkurunziza";"news | Rwanda";"africaz  rwanda  dvpcoz  eafrz ";"";"gclimt  gcat  genv  gglobe ";"africaz  rwanda  dvpcoz  eafrz   gclimt  gcat  genv  gglobe ";965;"Actionaid Launches Climate Justice Campaign"
"93";"AFNWS00020230910ej9a00001";2023-09-10;"Deutsche Welle";"Anglais";"Tanika Godbole";"news";"india  africaz  eecz  delhi  asiaz  bric  devgcoz  dvpcoz  eurz  sasiaz ";"afriu  groptw ";"gdip  gcat  gpir ";"india  africaz  eecz  delhi  asiaz  bric  devgcoz  dvpcoz  eurz  sasiaz  afriu  groptw  gdip  gcat  gpir ";892;"AU to Join G20 As India Boosts Global South"
"94";"AFNWS00020230909ej99000ji";2023-09-09;"Premium Times";"Anglais";"Chiamaka Okafor";"news";"india  africaz  eurz  asiaz  bric  devgcoz  dvpcoz  sasiaz ";"afriu  groptw ";"gdip  gcat  gpir ";"india  africaz  eurz  asiaz  bric  devgcoz  dvpcoz  sasiaz  afriu  groptw  gdip  gcat  gpir ";332;"G20 Summit - African Union Joins G-20"
"95";"AFNWS00020230830ej8u0013b";2023-08-30;"Institute for Security Studies";"Anglais";"Priyal Singh";"analysis | Ethiopia | South Africa";"africaz  ethpa  eurz  safr  bric  devgcoz  dvpcoz  eafrz  souafrz ";"";"gpol  gcat  gpir ";"africaz  ethpa  eurz  safr  bric  devgcoz  dvpcoz  eafrz  souafrz   gpol  gcat  gpir ";923;"Brics+ and the Tricky Business of Balancing Global Geopolitics"
"96";"AFNWS00020230828ej8s001gu";2023-08-28;"United States Institute of Peace";"Anglais";"Andrew Cheatham; Adam Gallagher";"news";"bric  russ  africaz  china  safr  usa  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  eeurz  eurz  namz  souafrz  ussrz ";"gsven ";"gdip  gcrim  gcat  gpir ";"bric  russ  africaz  china  safr  usa  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  eeurz  eurz  namz  souafrz  ussrz  gsven  gdip  gcrim  gcat  gpir ";1786;"Why the Brics Summit Could Be a Big Deal"
"97";"AFNWS00020230828ej8s00109";2023-08-28;"spotlight";"Anglais";"Yogan Pillay and Izukanji Sikazwe";"opinion";"africaz  usa  namz ";"usdhhs ";"ghiv  gout  gglobe  gstd  gcat  ghea  gmed  gspox ";"africaz  usa  namz  usdhhs  ghiv  gout  gglobe  gstd  gcat  ghea  gmed  gspox ";1049;"A New African HIV Control Working Group to Propel African Voices in the Global HIV Response"
"98";"AFNWS00020230828ej8s0008g";2023-08-28;"The Conversation Africa";"Anglais";"Jose Caballero";"analysis";"russ  ukrn  africaz  bric  eurz  asiaz  devgcoz  dvpcoz  eeurz  ussrz ";"";"gdip  gcat  gpir ";"russ  ukrn  africaz  bric  eurz  asiaz  devgcoz  dvpcoz  eeurz  ussrz   gdip  gcat  gpir ";1036;"How Russia Is Fighting for Allies Among the Brics Countries Using 'Memory Diplomacy'"
"99";"AFNWS00020230826ej8q0002x";2023-08-26;"Chatham House";"Anglais";"";"analysis | South Africa";"safr  bric  africaz  eurz  devgcoz  dvpcoz  souafrz ";"";"gdip  gcat  gpir ";"safr  bric  africaz  eurz  devgcoz  dvpcoz  souafrz   gdip  gcat  gpir ";1136;"Symbolism Over Substance for South Africa As Ramaphosa Announces BRICS 3.0"
"100";"AFNWS00020230825ej8p0015s";2023-08-25;"Vanguard";"Anglais";"";"news | Nigeria";"africaz  china  bric  nigea  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  wafrz ";"";"gdip  gcat  gpir ";"africaz  china  bric  nigea  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  wafrz   gdip  gcat  gpir ";621;"Nigeria Committed to Collaborating With China, African Countries - Shettima"
"101";"AFNWS00020230825ej8p00106";2023-08-25;"Vanguard";"Anglais";"Charles Onunaiju";"news";"devgcoz  africaz  bric  russ  safr  ukrn  asiaz  dvpcoz  eeurz  eurz  souafrz  ussrz ";"";"gdip  gglblz  gcat  gcom  gglobe  gpir ";"devgcoz  africaz  bric  russ  safr  ukrn  asiaz  dvpcoz  eeurz  eurz  souafrz  ussrz   gdip  gglblz  gcat  gcom  gglobe  gpir ";1369;"Africa and the Opportunities of Brics"
"102";"AFNWS00020230824ej8o000un";2023-08-24;"Government of South Africa";"Anglais";"";"press release | South Africa";"bric  africaz  safr  devgcoz  dvpcoz  souafrz ";"";"gpol  npress  gcat  gpir  ncat ";"bric  africaz  safr  devgcoz  dvpcoz  souafrz   gpol  npress  gcat  gpir  ncat ";796;"President Cyril Ramaphosa - Media Briefing Remarks Announcing Outcomes of the Xv Brics Summit"
"103";"AFNWS00020230818ej8i0002u";2023-08-18;"Inter Press Service";"Anglais";"Jomo Kwame Sundaram and Khoo Wei Yang";"KUALA LUMPUR, Malaysia | analysis";"dvpcoz  africaz  kuala  apacz  asiaz  devgcoz  malay  seasiaz ";"twban ";"gclimt  gcat  genv  gglobe ";"dvpcoz  africaz  kuala  apacz  asiaz  devgcoz  malay  seasiaz  twban  gclimt  gcat  genv  gglobe ";1104;"World Bank Climate Finance Plan Little Help, Unfair"
"104";"AFNWS00020230811ej8b00105";2023-08-11;"Institute for Security Studies";"Anglais";"Peter Fabricius";"analysis";"africaz  bric  nigea  safr  pretor  devgcoz  dvpcoz  souafrz  wafrz ";"";"gdip  gcat  gpir ";"africaz  bric  nigea  safr  pretor  devgcoz  dvpcoz  souafrz  wafrz   gdip  gcat  gpir ";1159;"Extra BRICS Shouldn't Be Used to Build a Wall Against the West"
"105";"AFNWS00020230808ej88001e7";2023-08-08;"SAnews.gov.za";"Anglais";"";"news | South Africa";"bric  safr  africaz  devgcoz  dvpcoz  souafrz ";"";"gdip  gcat  gpir ";"bric  safr  africaz  devgcoz  dvpcoz  souafrz   gdip  gcat  gpir ";680;"BRICS Summit Set to Benefit Africa and Global South"
"106";"AFNWS00020230801ej810010k";2023-08-01;"Southern Voice";"Anglais";"Adedeji Adeniran, Oludele Folarin";"analysis";"nigea  africaz  dvpcoz  wafrz ";"";"gedu  gout  gsars  gsust  gcat  gcold  genv  ghea  gmed  gspox ";"nigea  africaz  dvpcoz  wafrz   gedu  gout  gsars  gsust  gcat  gcold  genv  ghea  gmed  gspox ";939;"Ways to Narrow Educational Inequality in the Global South"
"107";"AFNWS00020230730ej7u00066";2023-07-30;"African Arguments";"Anglais";"Hamdullah Baycar";"analysis";"india  africaz  bric  cana  china  eurz  delhi  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  namz  sasiaz ";"afriu  groptw  unscou ";"gdip  gpol  gcat  gpir ";"india  africaz  bric  cana  china  eurz  delhi  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  namz  sasiaz  afriu  groptw  unscou  gdip  gpol  gcat  gpir ";1089;"India - Modi's Call for AU Membership in the G20 and the China Factor"
"108";"AFNWS00020230728ej7s00001";2023-07-28;"The Conversation Africa";"Anglais";"Galyna Piskorska";"analysis";"ukrn  russ  africaz  asiaz  bric  devgcoz  dvpcoz  eeurz  eurz  ussrz ";"";"gdip  gvio  gcat  gcns  gpir  grisk ";"ukrn  russ  africaz  asiaz  bric  devgcoz  dvpcoz  eeurz  eurz  ussrz   gdip  gvio  gcat  gcns  gpir  grisk ";1258;"Will Ukraine Be Able to Win Over the Global South in Its Fight Against Russian Aggression?"
"109";"AFNWS00020230718ej7i000p1";2023-07-18;"allAfrica.com";"Anglais";"Melody Chironda";"Kigali | interview";"africaz  kigali  rwanda  dvpcoz  eafrz ";"";"gwori  gpov  nitv  gcat  gcom  ghum  gsoc  ncat  nfact  nfcpex ";"africaz  kigali  rwanda  dvpcoz  eafrz   gwori  gpov  nitv  gcat  gcom  ghum  gsoc  ncat  nfact  nfcpex ";2046;"How Empowering Girls and Women Can Change the Future of Africa"
"110";"AFNWS00020230706ej760002v";2023-07-06;"The Conversation Africa";"Anglais";"Robyn Berghoff and Emanuel Bylund";"analysis";"africaz ";"";"gent  gcat ";"africaz   gent  gcat ";906;"Africa's Linguistic Diversity Goes Largely Unnoticed in Research On Multilingualism"
"111";"AFNWS00020230704ej740003b";2023-07-04;"The Conversation Africa";"Anglais";"Jorge Heine";"analysis";"ukrn  russ  dvpcoz  africaz  asiaz  bric  devgcoz  eeurz  eurz  ussrz ";"";"gpol  gcat  gpir ";"ukrn  russ  dvpcoz  africaz  asiaz  bric  devgcoz  eeurz  eurz  ussrz   gpol  gcat  gpir ";943;"The Global South Is On the Rise - but What Exactly Is the Global South?"
"112";"AFNWS00020230630ej6u00106";2023-06-30;"The Conversation Africa";"Anglais";"Avery Anapol and Mend Mariwany";"analysis";"uk  africaz  eurz  weurz ";"";"gimm  gpol  gcat  gcom  gpir ";"uk  africaz  eurz  weurz   gimm  gpol  gcat  gcom  gpir ";1170;"Debunking Migration Myths - the Real Reasons People Move, and Why Most Migration Happens in the Global South - Podcast"
"113";"AFNWS00020230626ej6q0015t";2023-06-26;"SAnews.gov.za";"Anglais";"";"news | South Africa";"fra  safr  africaz  bric  devgcoz  dvpcoz  eecz  eurz  medz  souafrz  weurz ";"";"gcat  gpersi  gpersf ";"fra  safr  africaz  bric  devgcoz  dvpcoz  eecz  eurz  medz  souafrz  weurz   gcat  gpersi  gpersf ";690;"Global Development Financing Must Achieve Local Benefits"
"114";"AFNWS00020230626ej6q00005";2023-06-26;"Premium Times";"Anglais";"Chiamaka Okafor";"news";"africaz ";"twban ";"";"africaz  twban  ";782;"World Bank to Create Catastrophe Toolkit in Response to Calls for Financial System Reform"
"115";"AFNWS00020230604ej640002w";2023-06-04;"Atlantic Council Africa Center";"Anglais";"Aubrey Rugo";"blog";"africaz ";"";"cenvire  memiss  gsust  ccat  cesg  gcat  genv  mcat  ncat  nfact  nfce ";"africaz   cenvire  memiss  gsust  ccat  cesg  gcat  genv  mcat  ncat  nfact  nfce ";1398;"Through Carbon Markets, Corporations Have a Role to Play in Africa's Development. They Should Take It Seriously."
"116";"AFNWS00020230604ej6400002";2023-06-04;"The Conversation Africa";"Anglais";"Danny Bradlow";"analysis | South Africa";"bric  safr  africaz  eurz  russ  asiaz  devgcoz  dvpcoz  eeurz  souafrz  ussrz ";"";"gcat  gcrim  gsust  genv ";"bric  safr  africaz  eurz  russ  asiaz  devgcoz  dvpcoz  eeurz  souafrz  ussrz   gcat  gcrim  gsust  genv ";1335;"South Africa's Role As Host of the Brics Summit Is Fraught With Dangers. a Guide to Who Is in the Group, and Why It Exists"
"117";"AFNWS00020230406ej4600001";2023-04-06;"Inter Press Service";"Anglais";"Thalif Deen";"United Nations | news";"dvpcoz  china  africaz  cana  usa  apacz  asiaz  bric  chinaz  devgcoz  easiaz  namz ";"utdnat ";"gdip  gpir  gcat ";"dvpcoz  china  africaz  cana  usa  apacz  asiaz  bric  chinaz  devgcoz  easiaz  namz  utdnat  gdip  gpir  gcat ";1544;"US Legislators Strip China of 'Developing Nation' Status"
"118";"AFNWS00020230313ej3d00009";2023-03-13;"Deutsche Welle";"Anglais";"";"news";"africaz ";"";"gsars  gimmu  gout  reqrhc  reqrph  gcat  gcold  ghea  gmed  gspox  gtrea  redit  reqr ";"africaz   gsars  gimmu  gout  reqrhc  reqrph  gcat  gcold  ghea  gmed  gspox  gtrea  redit  reqr ";701;"Call for Vaccine Equity So Covid 'Mistakes' Are Not Repeated"
"119";"AFNWS00020230301ej310010a";2023-03-01;"The Conversation Africa";"Anglais";"Maïka Sondarjee and Dickson Kanakulya";"analysis";"africaz ";"";"gmovie  gcat  gent ";"africaz   gmovie  gcat  gent ";1031;"How White Saviourism Harms International Development"
"120";"AFNWS00020230301ej310008e";2023-03-01;"Inter Press Service";"Anglais";"Paul Virgo";"Rome | opinion";"africaz  italy  eecz  eurz  medz  weurz ";"iccou ";"gcrim  gwar  genv  gcat  gcns  grisk  gvio ";"africaz  italy  eecz  eurz  medz  weurz  iccou  gcrim  gwar  genv  gcat  gcns  grisk  gvio ";949;"The Case for Criminalizing Ecocide"
"121";"AFNWS00020230216ej2g000b8";2023-02-16;"Inter Press Service";"Anglais";"Joyce Chimbi";"Nairobi | news";"africaz  kenya  nairoi  dvpcoz  eafrz ";"wbgrup  twban ";"gclimt  gdis  gglobe  gearth  gcat  genv  gntdis  grisk ";"africaz  kenya  nairoi  dvpcoz  eafrz  wbgrup  twban  gclimt  gdis  gglobe  gearth  gcat  genv  gntdis  grisk ";921;"World Leaders, Private Sector Urged to Establish an International Green Bank to Win Climate Change Battle"
"122";"AFNWS00020230215ej2f000e3";2023-02-15;"The Conversation Africa";"Anglais";"Adekeye Adebajo";"analysis";"africaz  indon  usa  apacz  asiaz  devgcoz  dvpcoz  namz  seasiaz ";"";"gcat  gvio  gcns  grisk ";"africaz  indon  usa  apacz  asiaz  devgcoz  dvpcoz  namz  seasiaz   gcat  gvio  gcns  grisk ";1301;"When Two Elephants Fight - How the Global South Uses Non-Alignment to Avoid Great Power Rivalries"
"123";"AFNWS00020230117ej1h000bp";2023-01-17;"The New Dawn";"Anglais";"";"news | Liberia";"india  liber  africaz  asiaz  bric  devgcoz  dvpcoz  sasiaz  wafrz ";"";"gdip  gcat  gpir ";"india  liber  africaz  asiaz  bric  devgcoz  dvpcoz  sasiaz  wafrz   gdip  gcat  gpir ";493;"Liberia Partakes in India's 'Voice of Global South Summit'"
"124";"AFNWS00020230116ej1g000gw";2023-01-16;"Ghanaian Times";"Anglais";"Norman Cooper";"news | Ghana";"india  ghana  africaz  asiaz  bric  devgcoz  dvpcoz  sasiaz  wafrz ";"";"gcat  gpol  gclimt  genv  gglobe  gpir ";"india  ghana  africaz  asiaz  bric  devgcoz  dvpcoz  sasiaz  wafrz   gcat  gpol  gclimt  genv  gglobe  gpir ";601;"Ghana Pledges Support for Indian's G2"
"125";"AFNWS00020221216eicg000mc";2022-12-16;"United States Department of State";"Anglais";"";"press release";"africaz  usa  safr  bric  devgcoz  dvpcoz  namz  souafrz ";"unscou ";"gvexe  (Discontinued from 10th January 2023) gdip  gfdsec  nitv  gcat  gcom  gpir  gpol  gvbod  (Discontinued from 10th January 2023) ncat  nfact  nfcpex ";"africaz  usa  safr  bric  devgcoz  dvpcoz  namz  souafrz  unscou  gvexe  (Discontinued from 10th January 2023) gdip  gfdsec  nitv  gcat  gcom  gpir  gpol  gvbod  (Discontinued from 10th January 2023) ncat  nfact  nfcpex ";5842;"Secretary Antony J. Blinken At a Press Availability"
"126";"AFNWS00020221209eic90002t";2022-12-09;"The Conversation Africa";"Anglais";"Arjun Amar, Chevonne Reynolds and Kailen Padayachee";"analysis";"africaz ";"";"genv  gnatcn  gmala  reqrch  gcat  ghea  gmed  gmosq  gspox  redit  reqr ";"africaz   genv  gnatcn  gmala  reqrch  gcat  ghea  gmed  gmosq  gspox  redit  reqr ";1013;"A Dangerous Pesticide Isn't Being Monitored in Key Bird of Prey Populations - We're Shedding Light On That Gap"
"127";"AFNWS00020221125eibp0002u";2022-11-25;"African Arguments";"Anglais";"Meera Venkatachalam and Dan Banik";"analysis";"india  africaz  ndelh  delhi  mahara  asiaz  bric  devgcoz  dvpcoz  indsubz  sasiaz ";"";"";"india  africaz  ndelh  delhi  mahara  asiaz  bric  devgcoz  dvpcoz  indsubz  sasiaz   ";1711;"Indian Exceptionalism and Normative Power in Africa"
"128";"AFNWS00020221116eibg000q1";2022-11-16;"Ghanaian Times";"Anglais";"Anthonio Guterres";"news | Ghana";"ghana  africaz  dvpcoz  wafrz ";"";"gfdsec  gcat  gcom ";"ghana  africaz  dvpcoz  wafrz   gfdsec  gcat  gcom ";854;"World Population Hits 8 Billion Strong"
"129";"AFNWS00020221116eibg0000p";2022-11-16;"Inter Press Service";"Anglais";"Hezri a Adnan and Jomo Kwame Sundaram";"Kuala Lumpur, Malaysia | opinion";"ukrn  kuala  apacz  asiaz  devgcoz  dvpcoz  eeurz  eurz  malay  seasiaz ";"unfcoc ";"gclimt  gvio  genv  gcat  gcns  gglobe  grisk ";"ukrn  kuala  apacz  asiaz  devgcoz  dvpcoz  eeurz  eurz  malay  seasiaz  unfcoc  gclimt  gvio  genv  gcat  gcns  gglobe  grisk ";1110;"COP27 Fiddling As World Warms"
"130";"AFNWS00020221111eibb000h5";2022-11-11;"The New Dawn";"Anglais";"";"news | Liberia";"liber  africaz  dvpcoz  wafrz ";"";"";"liber  africaz  dvpcoz  wafrz   ";831;"Eight Billion People - One Humanity"
